Name,Goal,Asist,Total Point,Currently Playing,nation,Source
Lionel Messi,33,18,51,Barcelona,"Santa Fe, Argentina ",http://www.espnfc.co.uk/player/45843/lionel-messi
Neymar,29,18,47,Paris Saint-Germain ,Brazil ,http://www.espnfc.us/player/132948/neymar
Mohamed Salah,34,9,43,Liverpool,Unknown,http://www.espnfc.co.uk/player/173896/mohamed-salah
Harry Kane,38,4,42,Tottenham Hotspur,England ,http://www.espnfc.co.uk/player/142200/harry-kane
Sergio Agüero,31,7,38,Manchester City,"Capital Federal, Argentina ",http://www.espnfc.co.uk/player/44927/sergio-aguero
Edinson Cavani,31,5,36,Paris Saint-Germain ,Uruguay ,http://www.espnfc.us/player/95469/edinson-cavani
Cristiano Ronaldo,29,6,35,Real Madrid,Unknown,http://www.espnfc.co.uk/player/22774/cristiano-ronaldo
Roberto Firmino,22,13,35,Liverpool,Brazil ,http://www.espnfc.co.uk/player/147234/roberto-firmino
Romelu Lukaku,26,8,34,Manchester United,Unknown,http://www.espnfc.co.uk/player/139437/romelu-lukaku
Kevin De Bruyne,11,23,34,Manchester City,Unknown,http://www.espnfc.co.uk/player/134947/kevin-de-bruyne
Luis Suárez,24,9,33,Barcelona,Uruguay ,http://www.espnfc.co.uk/player/125088/luis-suarez
Robert Lewandowski,30,3,33,Bayern Munich,Poland ,http://www.espnfc.co.uk/player/125824/robert-lewandowski
Antoine Griezmann,20,11,31,Atletico Madrid,France ,http://www.espnfc.co.uk/player/140416/antoine-griezmann
Raheem Sterling,23,7,30,Manchester City,England ,http://www.espnfc.co.uk/player/156366/raheem-sterling
Leroy Sané,12,15,27,Manchester City,Unknown,http://www.espnfc.co.uk/player/202641/leroy-sane
Philippe Coutinho,15,11,26,Barcelona,Brazil ,http://www.espnfc.co.uk/player/130372/philippe-coutinho
Florian Thauvin,16,10,26,Marseille,Unknown,http://www.espnfc.co.uk/player/156898/florian-thauvin
Eden Hazard,15,10,25,Chelsea,Belgium ,http://www.espnfc.co.uk/player/101390/eden-hazard
Anthony Martial,12,13,25,Manchester United,Unknown,http://www.espnfc.co.uk/player/181140/anthony-martial
Son Heung-Min,16,9,25,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/149945/son-heung-min
Kylian Mbappé,14,11,25,Paris Saint-Germain ,Unknown,http://www.espnfc.us/player/231388/kylian-mbappe
Radamel Falcao,23,1,24,AS Monaco,"Santa Marta, Colombia ",http://www.espnfc.co.uk/player/87706/radamel-falcao
Dele Alli,9,14,23,Tottenham Hotspur,Unknown,http://www.espnfc.co.uk/player/168787/dele-alli
Jesse Lingard,15,8,23,Manchester United,Unknown,http://www.espnfc.co.uk/player/169136/jesse-lingard
Paulo Dybala,17,5,22,Juventus,Argentina ,http://www.espnfc.co.uk/player/164839/paulo-dybala
Thomas Müller,11,11,22,Bayern Munich,Germany ,http://www.espnfc.co.uk/player/123465/thomas-muller
Gonzalo Higuaín,19,3,22,Juventus,Argentina ,http://www.espnfc.co.uk/player/67310/gonzalo-higuain
Riyad Mahrez,12,9,21,Leicester City,Unknown,http://www.espnfc.co.uk/player/163940/riyad-mahrez
Sadio Mané,14,7,21,Liverpool,Unknown,http://www.espnfc.co.uk/player/169797/sadio-mane
Marcus Rashford,13,7,20,Manchester United,Unknown,http://www.espnfc.co.uk/player/230945/marcus-rashford
Willian,13,7,20,Chelsea,Brazil ,http://www.espnfc.co.uk/player/178487/willian
David Silva,7,12,19,Manchester City,Spain ,http://www.espnfc.co.uk/player/43815/david-silva
Christian Eriksen,11,8,19,Tottenham Hotspur,Denmark ,http://www.espnfc.co.uk/player/144130/christian-eriksen
Ángel Di María,10,9,19,Paris Saint-Germain ,"Rosario, Argentina ",http://www.espnfc.us/player/108223/angel-di-maria
Jamie Vardy,17,1,18,Leicester City,Unknown,http://www.espnfc.co.uk/player/165648/jamie-vardy
Santi Mina,14,4,18,Valencia,Unknown,http://www.espnfc.co.uk/player/181642/santi-mina
Henrikh Mkhitaryan,5,12,17,Manchester United,Unknown,http://www.espnfc.co.uk/player/147625/henrikh-mkhitaryan
Lucas Vázquez,7,10,17,Real Madrid,Unknown,http://www.espnfc.co.uk/player/174967/lucas-vazquez
Álvaro Morata,12,5,17,Chelsea,Unknown,http://www.espnfc.co.uk/player/154446/alvaro-morata
Rodrigo,12,4,16,Valencia,Spain ,http://www.espnfc.co.uk/player/144639/rodrigo
Daniel Parejo,8,8,16,Valencia,Unknown,http://www.espnfc.co.uk/player/121020/daniel-parejo
Marco Asensio,11,5,16,Real Madrid,Unknown,http://www.espnfc.co.uk/player/195821/marco-asensio
Keita Baldé,8,8,16,AS Monaco,Unknown,http://www.espnfc.co.uk/player/184883/keita-balde
Rony Lopes,9,7,16,AS Monaco,Unknown,http://www.espnfc.co.uk/player/176423/rony-lopes
Kevin Gameiro,12,4,16,Atletico Madrid,France ,http://www.espnfc.co.uk/player/101468/kevin-gameiro
Bernardo Silva,6,9,15,Manchester City,Unknown,http://www.espnfc.co.uk/player/199833/bernardo-silva
Karim Benzema,8,7,15,Real Madrid,France ,http://www.espnfc.co.uk/player/46858/karim-benzema
Alexis Sánchez,9,6,15,Manchester United,Chile ,http://www.espnfc.co.uk/player/92055/alexis-sanchez
Gareth Bale,10,5,15,Real Madrid,Wales ,http://www.espnfc.co.uk/player/77653/gareth-bale
